Country,Summary.of.the.I.NDC,country_code,size,year,old_year,Type,ratio,
Afghanistan,"A 13.6% reduction in emissions by 2030, compared to a business-as-usual scenario, conditional upon international support. Includes section on adaptation.",AFG,13.6,2030,2005,BAU,-121.2,
Angola,"An unconditional 35% emissions cut by 2030, compared to business as usual. A conditional offer to cut emissions 50% below BAU, with international support of $15bn. Includes plans for new and repowered hydro dams as well as a windfarm.",AGO,35,2030,2005,BAU,-81.9,
Albania,"An 11.5% reduction in emissions by 2030, compared to business-as-usual levels. Covers only carbon dioxide emissions. Includes a long term target to reduce emissions to 2 tons of greenhouse gases per capita by 2050.",ALB,11.5,2030,2009,BAU,-22.1,
Andorra,A 37% reduction in greenhouse gas emissions from a business-as-usual scenario by 2030.,AND,37,2030,2010,BAU,39.7,(French)
United Arab Emirates,"To ""limit"" emissions and increase the share of ""clean energy"" in the energy mix to 24% by 2021, up from 0.2% in 2014. Includes section on adaptation actions with mitigation co-benefits.",ARE,,,,,,
Argentina,"An unconditional 15% emissions cut by 2030, compared to business as usual projections, or a 30% cut conditional on international support. The higher ambition would see emissions rise and then return to today's levels, by 2030. Includes section on adaptation.",ARG,15,2030,2005,BAU,-26.6,
Armenia,Limits emissions to an aggregate 633 million tonnes of CO2 equivalent for the period 2015-2050. This works out at per capita emissions of 5.4 tons (compared to 2.14 tons in 2010). This is subject to international support. Includes section on adaptation.,ARM,,,,,,
Antigua and Barbuda,"A series of conditional and unconditional targets for adaptation and mitigation. For instance, by 2030 preparing all buildings for climate extremes and reaching 50 megawatts of renewable power capacity. Conditional actions are costed at $420m over ten years.",ATG,,,,,,
Australia,A 26 to 28% reduction in emissions by 2030 on 2005 levels. This will be mainly implemented through Australia's Emissions Reduction Fund and a range of other policies currently under development. The government is also considering a potential long term emissions reduction goal.,AUS,26,2030,2005,Emission,,
Azerbaijan,"A 35% emissions cut by 2030, compared to 1990 levels. Includes all sectors of the economy. Emissions are currently around 40% below 1990 levels.",AZE,35,2030,1990,Emission,,
Burundi,"A 20% reduction in emissions by 2030 compared to a business-as-usual scenario, on the condition of international support. Of this, 3% will be achieved unconditionally. Includes interim targets for 2020 and 2025. Prioritises its section on adaptation ahead of mitigation.",BDI,3,2030,2005,BAU,-418,
Benin,"Avoiding cumulative emissions of 120 million tonnes of carbon dioxide equivalent between 2020 and 2030, compared to business as usual. Of this, 5MtCO2e would be avoided in the energy sector and 115MtCO2e from land and forests.",BEN,,,,,,
Burkina Faso,"An unconditional pledge to reduce emissions by 6.6% below business-as-usual levels by 2030, with a further 11.6% reduction conditional upon international support. Includes interim pledges for 2020 and 2025. Includes section on adaptation, where actions proposed would reduce emissions by a further 36.95%, taking the total reductions up to a potential 55.15% below business-as-usual levels.",BFA,6.6,2030,2007,BAU,-404.3,
Bangladesh,"An unconditional 5% reduction in greenhouse gas emissions by 2030, compared to business-as-usual levels, in the power, transport and industry sectors. To be accompanied by a further 15% reduction, conditional upon international support. These three sectors will represent 69% of total emissions in 2030. Includes section on adaptation.",BGD,5,2030,2011,BAU,-246.9,
Bahrain,"Sets out a number of policies and actions that will contribute to “low greenhouse gas emission development”. It highlights its Economic Vision 2030, which seeks to diversify the country’s economy and reduce its dependence on oil and gas.",BHR,,,,,,
Bahamas,"Outlines a number of actions, which it says will lead to emissions reductions of 30% by 2030, compared to business-as-usual levels. The Bahamas will require international support to implement these actions. Also contains actions on adaptation.",BHS,30,2030,NA,BAU,,
Bosnia and Herzegovina,"An unconditional 3% reduction on business-as-usual levels by 2030, or 23% conditional upon international support. The latter equates to a 3% reduction on 1990 levels.",BIH,3,2030,1990,Emission,,
Belarus,"Commits to keep greenhouse gases in 2030 at 28% below 1990 levels, excluding land use and forestry. This would equate to a roughly 5% rise compared to current emissions. Includes a section on adaptation.",BLR,28,2030,1990,Emission,,
Belize,"An 85% increase in the share of renewables in its mix by 2027, with a 62% reduction in carbon dioxide emissions compared to a business-as-usual. Also has a goal to reduce greenhouse gas emissions by 24 million tonnes between 2014 and 2033. Conditional upon international support. Will provide information on adaptation at a later stage.",BLZ,62,2027,NA,BAU,,
Bolivia,"Lists a series of actions, including ending illegal deforestation by 2020, and increasing the share of renewable energy to 79% by 2030 from 39% in 2010. This could be increased to 81% with international support. Also focuses on water. Denounces capitalism as “a system of death”, and rejects carbon markets. Proposes allocating carbon budget between countries, with 89% going to the developing world.",BOL,,,,,,
Brazil,"A 37% reduction in emissions by 2025, compared to 2005 levels, with a further indicative target of a 43% reduction in emissions by 2030. Contains sections on adaptation and south-south initiatives.",BRA,37,2025,2005,Emission,,
Barbados,"A 44% economy-wide emissions cut in 2030, compared to business as usual. Its interim goal of 37% in 2025 is equivalent to a 21% cut relative to 2008 levels. Includes section on adaptation. Implementation requires financial support.",BRB,21,2025,2008,Emission,,
